metrica,grupo,carga,protocolo,media,desvio,n
sta_beacon_loss,sta,40,http,0.000000,0.000000,3
sta_beacon_loss,sta,40,coap,0.000000,0.000000,3
sta_beacon_loss,sta,50,mqtt,0.000000,0.000000,3
sta_beacon_loss,sta,50,http,0.000000,0.000000,3
sta_beacon_loss,sta,50,coap,0.000000,0.000000,3
broker_clients,broker,10,mqtt,14.000000,0.000000,3
broker_clients,broker,10,http,3.000000,0.000000,3
broker_clients,broker,10,coap,3.000000,0.000000,3
broker_clients,broker,20,mqtt,24.000000,0.000000,3
broker_clients,broker,20,http,3.000000,0.000000,3
broker_clients,broker,20,coap,3.000000,0.000000,3
broker_clients,broker,30,mqtt,33.666667,0.577350,3
broker_clients,broker,30,http,3.000000,0.000000,3
broker_clients,broker,30,coap,3.000000,0.000000,3
broker_clients,broker,40,mqtt,43.666667,0.577350,3
broker_clients,broker,40,http,3.000000,0.000000,3
broker_clients,broker,40,coap,3.000000,0.000000,3
broker_clients,broker,50,mqtt,53.333333,1.154701,3
broker_clients,broker,50,http,3.000000,0.000000,3
broker_clients,broker,50,coap,3.000000,0.000000,3
broker_rx_kbps,broker,10,mqtt,1.733487,0.000041,3
broker_rx_kbps,broker,10,http,1.599145,0.000096,3
broker_rx_kbps,broker,10,coap,1.599264,0.000203,3
broker_rx_kbps,broker,20,mqtt,3.470951,0.000095,3
broker_rx_kbps,broker,20,http,3.201140,0.000166,3
broker_rx_kbps,broker,20,coap,3.201315,0.000255,3
broker_rx_kbps,broker,30,mqtt,5.158255,0.099971,3
broker_rx_kbps,broker,30,http,4.796543,0.015271,3
broker_rx_kbps,broker,30,coap,4.632929,0.086098,3
broker_rx_kbps,broker,40,mqtt,6.900321,0.099680,3
broker_rx_kbps,broker,40,http,6.391963,0.008980,3
broker_rx_kbps,broker,40,coap,6.347485,0.122637,3
broker_rx_kbps,broker,50,mqtt,8.149008,1.212768,3
broker_rx_kbps,broker,50,http,7.901637,0.034950,3
broker_rx_kbps,broker,50,coap,7.722713,0.281250,3
broker_tx_kbps,broker,10,mqtt,6.205234,0.000124,3
broker_tx_kbps,broker,10,http,4.668028,0.058729,3
broker_tx_kbps,broker,10,coap,4.797793,0.000610,3
broker_tx_kbps,broker,20,mqtt,11.429659,0.002193,3
broker_tx_kbps,broker,20,http,9.213508,0.080798,3
broker_tx_kbps,broker,20,coap,9.603945,0.000764,3
broker_tx_kbps,broker,30,mqtt,16.475453,0.294445,3
broker_tx_kbps,broker,30,http,14.032221,0.003236,3
broker_tx_kbps,broker,30,coap,13.898786,0.258294,3
broker_tx_kbps,broker,40,mqtt,21.675272,0.296496,3
broker_tx_kbps,broker,40,http,18.860230,0.077318,3
broker_tx_kbps,broker,40,coap,19.042455,0.367912,3
broker_tx_kbps,broker,50,mqtt,25.388973,3.677716,3
broker_tx_kbps,broker,50,http,23.286170,0.316594,3
broker_tx_kbps,broker,50,coap,23.168138,0.843750,3
